epoch,train_loss,val_roc_auc,val_pr_auc,val_f1,val_precision,val_recall,val_tp,val_fp,val_tn,val_fn
1,0.5241364112020898,0.8320653765348389,0.8317767524549909,0.7168119551681196,0.7833424060968971,0.6606978879706152,1439.0,398.0,1863.0,739.0
2,0.47634095214181793,0.8399653322253942,0.8399487148142523,0.7127741935483871,0.8137890394814379,0.6340679522497704,1381.0,316.0,1945.0,797.0
3,0.4553039211194641,0.8423897614722271,0.8456546771632512,0.7455931395902811,0.7747524752475248,0.7185491276400368,1565.0,455.0,1806.0,613.0
4,0.44326629236515863,0.8478840717090084,0.8488537481548066,0.7618406285072952,0.7452788757136584,0.7791551882460973,1697.0,580.0,1681.0,481.0
5,0.4293112886792285,0.8508721162816295,0.8494184005745179,0.7479318734793188,0.7955486542443064,0.7056932966023876,1537.0,395.0,1866.0,641.0
6,0.41824323905685445,0.8407485656289484,0.8425542521081073,0.7227476356396217,0.7891304347826087,0.6666666666666666,1452.0,388.0,1873.0,726.0
7,0.4081705663459759,0.8489873403326823,0.851329339468075,0.7454718779790277,0.7750247770069376,0.7180899908172635,1564.0,454.0,1807.0,614.0
8,0.40029855977872775,0.8444710057431701,0.8444471537304692,0.739799657952602,0.7906005221932115,0.6951331496786042,1514.0,401.0,1860.0,664.0
9,0.3895748778136155,0.8506239671452168,0.8528655073495286,0.7466471592294562,0.7961518460738429,0.7029384756657484,1531.0,392.0,1869.0,647.0
10,0.3815692360402228,0.8507454018289932,0.8507592499907005,0.7471788715486194,0.7830900855561147,0.7144168962350781,1556.0,431.0,1830.0,622.0
11,0.3739854399177147,0.8518423753436419,0.851045460000485,0.7446703024293505,0.8092672413793104,0.689623507805326,1502.0,354.0,1907.0,676.0
12,0.3657871226754737,0.855147916785969,0.8538318124012573,0.7407779171894605,0.8168234643054787,0.6776859504132231,1476.0,331.0,1930.0,702.0
13,0.35826403745059654,0.8505492381090467,0.8510162270420463,0.7459822499400336,0.7810145655449523,0.7139577594123049,1555.0,436.0,1825.0,623.0
14,0.35034210778793357,0.8480807430990376,0.8493051262662571,0.7502914432268594,0.7621980104216012,0.738751147842057,1609.0,502.0,1759.0,569.0
15,0.34359306414168833,0.8521187509366513,0.85333794750164,0.7436893203883496,0.7888774459320288,0.7033976124885216,1532.0,410.0,1851.0,646.0
